,repo_id,repo_name,data_collection_date,event_type,event_datetime,contributor_name,pr_merge_status
83,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-19 12:11:40,neutrinoceros,merged
84,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-09-28 02:49:47,kyuhojeong,not merged
85,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-08-16 21:09:41,kyuhojeong,not merged
86,25958,awp-odc-os,2023-02-28 16:46:00,pull_request_created,2017-08-16 21:52:21,RajdeepKonwar,merged
87,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-18 15:45:50,neutrinoceros,merged
88,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-07-03 00:33:54,yagnasrinath,not merged
89,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-15 19:47:09,neutrinoceros,merged
90,25991,hydroshare,2023-02-28 16:46:00,pull_request_created,2023-01-25 13:40:00,devincowan,merged
91,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-06-03 18:46:45,yagnasrinath,merged
92,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-15 14:58:29,dependabot[bot],merged
93,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-04-20 08:43:52,yagnasrinath,merged
94,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-03-11 19:10:36,GingerNinja23,merged
95,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-03-11 17:16:43,ghost,not merged
96,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-15 14:58:24,dependabot[bot],merged
97,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-15 09:35:29,neutrinoceros,merged
98,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-02-11 03:45:15,kyuhojeong,merged
99,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-02-02 02:02:27,kcratie,merged
100,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-01-23 23:31:37,saumitraaditya,merged
101,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2015-01-23 21:14:36,saumitraaditya,not merged
102,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-12-09 23:59:04,kyuhojeong,merged
103,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-13 14:01:03,chrishavlin,merged
104,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-11-21 21:48:09,kyuhojeong,merged
105,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-11-17 03:19:19,kyuhojeong,merged
106,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-10-04 09:42:31,RoboMod,merged
107,25991,hydroshare,2023-02-28 16:46:00,pull_request_created,2023-01-24 19:34:30,devincowan,merged
108,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-09-18 21:43:46,kyuhojeong,merged
109,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-07-22 05:28:46,kyuhojeong,merged
110,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-07-20 02:46:03,kcratie,merged
111,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-07-18 18:08:27,kyuhojeong,merged
112,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-07-12 20:15:47,kyuhojeong,merged
113,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-07-04 03:06:24,kyuhojeong,merged
114,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-07-01 03:13:23,kyuhojeong,merged
115,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-06-29 00:47:37,pstjuste,merged
